Frequency (Hz),FFT Magnitude (dB)
86.18,-77.866
86.43,-78.898
86.67,-80.500
86.91,-79.615
87.16,-81.417
87.40,-78.906
87.65,-76.787
87.89,-77.231
88.13,-80.273
88.38,-77.737
88.62,-79.884
88.87,-73.287
89.11,-76.419
89.36,-75.676
89.60,-77.012
89.84,-75.566
90.09,-76.007
90.33,-75.844
90.58,-76.600
90.82,-75.866
91.06,-78.477
91.31,-77.092
91.55,-78.767
91.80,-76.938
92.04,-76.414
92.29,-76.936
92.53,-75.831
92.77,-77.021
93.02,-76.313
93.26,-75.362
93.51,-70.210
93.75,-67.756
93.99,-73.005
94.24,-79.832
94.48,-79.462
94.73,-77.412
94.97,-77.580
95.21,-78.337
95.46,-78.822
95.70,-77.890
95.95,-78.010
96.19,-80.080
96.44,-79.925
96.68,-77.803
96.92,-78.882
97.17,-78.847
97.41,-79.707
97.66,-77.992
97.90,-78.081
98.14,-79.017
98.39,-79.760
98.63,-79.617
98.88,-78.653
99.12,-78.985
99.37,-77.913
99.61,-80.224
99.85,-81.788
100.10,-77.154
100.34,-79.673
100.59,-79.327
100.83,-77.656
101.07,-76.194
101.32,-76.704
101.56,-74.935
101.81,-75.668
102.05,-74.750
102.29,-76.088
102.54,-77.493
102.78,-76.288
103.03,-76.949
103.27,-72.557
103.52,-72.730
103.76,-73.462
104.00,-75.436
104.25,-75.841
104.49,-74.190
104.74,-76.248
104.98,-75.871
105.22,-75.202
105.47,-76.645
105.71,-77.991
105.96,-73.790
106.20,-76.188
106.45,-70.105
106.69,-74.773
106.93,-75.937
107.18,-75.754
107.42,-74.487
107.67,-76.669
107.91,-73.478
108.15,-78.212
108.40,-75.370
108.64,-76.065
108.89,-72.779
109.13,-74.012
109.38,-73.829
109.62,-73.700
109.86,-74.621
110.11,-76.092
110.35,-75.167
110.60,-74.731
110.84,-70.856
111.08,-72.686
111.33,-73.218
111.57,-71.690
111.82,-72.022
112.06,-72.660
112.30,-70.281
112.55,-69.097
112.79,-72.357
113.04,-71.697
113.28,-73.777
113.53,-72.955
113.77,-70.131
114.01,-72.599
114.26,-71.842
114.50,-73.002
114.75,-71.448
114.99,-74.112
115.23,-71.696
115.48,-72.405
115.72,-73.282
115.97,-72.272
116.21,-71.427
116.46,-72.396
116.70,-72.066
116.94,-72.452
117.19,-72.505
117.43,-72.669
117.68,-71.623
117.92,-70.680
118.16,-70.206
118.41,-66.629
118.65,-65.668
118.90,-64.745
119.14,-64.972
119.38,-61.828
119.63,-57.577
119.87,-47.891
120.12,-47.403
120.36,-57.473
120.61,-61.770
120.85,-64.363
121.09,-67.640
121.34,-68.205
121.58,-68.007
121.83,-69.503
122.07,-69.851
122.31,-63.676
122.56,-71.767
122.80,-72.789
123.05,-73.729
123.29,-74.324
123.54,-75.153
123.78,-76.075
124.02,-74.688
124.27,-76.031
124.51,-75.830
124.76,-75.713
125.00,-76.340
125.24,-76.852
125.49,-74.744
