Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-103.374
0.49,-103.255
0.73,-102.922
0.98,-103.365
1.22,-102.987
1.46,-102.607
1.71,-102.086
1.95,-101.302
2.20,-99.473
2.44,-100.299
2.69,-99.931
2.93,-100.321
3.17,-98.131
3.42,-99.100
3.66,-97.891
3.91,-98.794
4.15,-98.390
4.39,-97.497
4.64,-98.841
4.88,-96.120
5.13,-94.386
5.37,-92.174
5.62,-93.732
5.86,-93.379
6.10,-91.930
6.35,-93.173
6.59,-92.283
6.84,-96.613
7.08,-96.176
7.32,-96.572
7.57,-94.485
7.81,-94.392
8.06,-92.737
8.30,-94.964
8.54,-93.293
8.79,-89.390
9.03,-88.149
9.28,-87.837
9.52,-87.412
9.77,-88.042
10.01,-88.428
10.25,-87.655
10.50,-83.392
10.74,-80.572
10.99,-82.745
11.23,-85.663
11.47,-88.147
11.72,-89.694
11.96,-85.851
12.21,-88.428
12.45,-89.335
12.70,-89.934
12.94,-80.425
13.18,-81.879
13.43,-84.492
13.67,-84.064
13.92,-81.412
14.16,-83.266
14.40,-85.030
14.65,-83.942
14.89,-81.519
15.14,-81.119
15.38,-84.654
15.62,-80.763
15.87,-82.188
16.11,-86.185
16.36,-88.522
16.60,-87.226
16.85,-88.646
17.09,-89.587
17.33,-88.019
17.58,-84.628
17.82,-85.451
18.07,-86.644
18.31,-85.915
18.55,-85.573
18.80,-84.143
19.04,-86.718
19.29,-82.826
19.53,-83.434
19.78,-81.245
20.02,-81.260
20.26,-84.494
20.51,-84.156
20.75,-88.059
21.00,-85.424
21.24,-84.849
21.48,-87.622
21.73,-86.791
21.97,-88.183
22.22,-86.516
22.46,-85.743
22.71,-85.607
22.95,-87.359
23.19,-86.838
23.44,-85.738
23.68,-85.205
23.93,-86.501
24.17,-83.522
24.41,-83.942
24.66,-82.426
24.90,-82.328
25.15,-79.690
25.39,-80.784
25.63,-81.724
25.88,-80.599
26.12,-75.988
26.37,-75.502
26.61,-73.384
26.86,-79.542
27.10,-76.893
27.34,-79.053
27.59,-79.144
27.83,-81.209
28.08,-78.249
28.32,-76.257
28.56,-69.422
28.81,-64.146
29.05,-75.091
29.30,-74.595
29.54,-65.077
29.79,-66.725
30.03,-73.471
30.27,-74.951
