Frequency (Hz),FFT Magnitude (dB)
86.18,-73.586
86.43,-72.464
86.67,-72.179
86.91,-73.307
87.16,-72.978
87.40,-75.256
87.65,-73.714
87.89,-74.710
88.13,-71.262
88.38,-72.878
88.62,-72.993
88.87,-73.275
89.11,-71.645
89.36,-74.128
89.60,-76.341
89.84,-74.871
90.09,-74.477
90.33,-73.893
90.58,-74.704
90.82,-73.889
91.06,-73.835
91.31,-75.287
91.55,-73.683
91.80,-74.618
92.04,-72.505
92.29,-72.941
92.53,-73.578
92.77,-72.102
93.02,-72.359
93.26,-73.920
93.51,-74.758
93.75,-71.329
93.99,-72.833
94.24,-74.848
94.48,-72.802
94.73,-74.664
94.97,-73.000
95.21,-73.475
95.46,-75.521
95.70,-71.973
95.95,-76.825
96.19,-74.347
96.44,-71.782
96.68,-74.033
96.92,-71.147
97.17,-72.172
97.41,-73.029
97.66,-74.347
97.90,-75.408
98.14,-75.031
98.39,-72.445
98.63,-73.377
98.88,-72.662
99.12,-73.806
99.37,-72.576
99.61,-72.058
99.85,-73.167
100.10,-73.505
100.34,-72.731
100.59,-73.337
100.83,-72.920
101.07,-74.184
101.32,-69.726
101.56,-73.092
101.81,-73.606
102.05,-73.101
102.29,-73.035
102.54,-73.570
102.78,-72.267
103.03,-72.897
103.27,-72.727
103.52,-71.113
103.76,-70.874
104.00,-74.699
104.25,-70.715
104.49,-69.937
104.74,-75.046
104.98,-73.083
105.22,-74.920
105.47,-72.354
105.71,-73.678
105.96,-74.700
106.20,-72.974
106.45,-73.180
106.69,-74.090
106.93,-73.024
107.18,-71.224
107.42,-74.865
107.67,-72.448
107.91,-71.776
108.15,-71.786
108.40,-74.483
108.64,-70.728
108.89,-70.942
109.13,-72.049
109.38,-73.159
109.62,-72.911
109.86,-73.504
110.11,-74.075
110.35,-72.856
110.60,-72.751
110.84,-73.478
111.08,-72.248
111.33,-74.372
111.57,-73.493
111.82,-75.014
112.06,-73.705
112.30,-71.977
112.55,-72.775
112.79,-73.847
113.04,-73.523
113.28,-71.212
113.53,-71.405
113.77,-70.995
114.01,-74.172
114.26,-71.791
114.50,-72.881
114.75,-74.452
114.99,-75.236
115.23,-75.753
115.48,-73.152
115.72,-71.762
115.97,-74.025
116.21,-71.014
116.46,-71.155
116.70,-74.178
116.94,-73.456
117.19,-72.986
117.43,-73.946
117.68,-74.177
117.92,-74.996
118.16,-70.485
118.41,-72.432
118.65,-73.846
118.90,-71.737
119.14,-73.364
119.38,-71.838
119.63,-73.930
119.87,-70.438
120.12,-72.617
120.36,-72.200
120.61,-73.228
120.85,-73.184
121.09,-72.759
121.34,-73.027
121.58,-73.132
121.83,-72.802
122.07,-72.917
122.31,-71.890
122.56,-73.126
122.80,-72.621
123.05,-71.647
123.29,-72.462
123.54,-70.683
123.78,-71.779
124.02,-72.726
124.27,-71.686
124.51,-71.604
124.76,-74.761
125.00,-72.581
125.24,-69.796
125.49,-71.797
125.73,-74.714
125.98,-75.977
126.22,-73.620
126.46,-74.371
126.71,-74.828
126.95,-70.997
127.20,-71.069
127.44,-72.745
127.69,-75.538
127.93,-74.294
128.17,-73.646
128.42,-73.432
128.66,-71.783
128.91,-74.597
129.15,-71.637
129.39,-72.345
129.64,-72.638
129.88,-73.709
130.13,-75.458
130.37,-72.360
130.62,-73.985
130.86,-72.472
131.10,-74.610
131.35,-73.787
131.59,-71.615
131.84,-73.041
132.08,-73.525
132.32,-75.150
132.57,-74.590
132.81,-72.102
133.06,-73.230
133.30,-72.469
133.54,-73.139
133.79,-72.761
134.03,-71.279
134.28,-72.419
134.52,-74.082
134.77,-72.235
135.01,-72.607
135.25,-72.840
135.50,-73.535
135.74,-70.626
135.99,-71.336
136.23,-71.492
136.47,-74.588
136.72,-75.598
136.96,-70.981
137.21,-71.434
137.45,-72.706
137.70,-73.061
137.94,-72.297
138.18,-72.763
138.43,-74.616
138.67,-72.894
138.92,-72.527
139.16,-69.599
139.40,-72.157
139.65,-71.982
139.89,-73.879
140.14,-71.937
140.38,-70.988
140.62,-70.999
140.87,-72.935
141.11,-73.259
141.36,-72.628
141.60,-73.607
141.85,-71.374
142.09,-74.523
142.33,-71.258
142.58,-71.491
142.82,-72.873
143.07,-72.490
143.31,-72.562
143.55,-73.721
143.80,-72.962
144.04,-73.350
144.29,-72.379
144.53,-72.434
144.78,-72.682
145.02,-71.811
145.26,-72.667
145.51,-74.714
145.75,-73.098
146.00,-72.845
146.24,-71.722
146.48,-73.230
146.73,-72.748
146.97,-73.337
147.22,-74.780
147.46,-75.494
147.71,-73.374
147.95,-74.520
148.19,-72.191
148.44,-72.184
148.68,-74.290
148.93,-72.685
149.17,-72.895
149.41,-72.121
149.66,-71.466
149.90,-71.098
150.15,-71.014
150.39,-71.250
150.63,-73.987
150.88,-72.964
151.12,-72.354
151.37,-72.291
151.61,-74.253
151.86,-73.232
152.10,-72.662
152.34,-71.821
152.59,-73.505
152.83,-71.939
153.08,-73.627
153.32,-72.150
153.56,-74.866
153.81,-74.628
154.05,-75.913
154.30,-73.544
154.54,-74.120
154.79,-73.625
155.03,-72.678
155.27,-71.118
155.52,-72.063
155.76,-72.098
156.01,-72.515
156.25,-72.495
156.49,-73.283
156.74,-72.607
156.98,-72.940
157.23,-72.534
157.47,-73.136
157.71,-72.099
157.96,-72.731
158.20,-73.118
158.45,-72.776
158.69,-70.823
158.94,-70.683
159.18,-73.532
159.42,-70.606
159.67,-73.823
159.91,-72.202
160.16,-71.500
160.40,-72.837
160.64,-71.613
160.89,-74.095
161.13,-73.289
161.38,-72.617
161.62,-74.358
161.87,-72.132
162.11,-74.093
162.35,-70.807
162.60,-71.946
162.84,-71.043
163.09,-71.607
163.33,-73.657
163.57,-73.498
163.82,-70.730
164.06,-72.205
164.31,-71.371
164.55,-71.213
164.79,-72.245
165.04,-70.310
165.28,-72.400
165.53,-71.259
165.77,-72.195
166.02,-74.454
166.26,-72.392
166.50,-73.920
166.75,-71.119
166.99,-72.893
167.24,-73.289
167.48,-71.423
167.72,-72.526
167.97,-72.464
168.21,-72.341
168.46,-71.575
168.70,-72.079
168.95,-69.762
169.19,-70.531
169.43,-71.561
169.68,-69.889
169.92,-69.484
170.17,-71.644
170.41,-70.624
170.65,-70.732
170.90,-71.620
171.14,-68.932
171.39,-70.832
171.63,-70.924
171.88,-71.491
172.12,-70.019
172.36,-71.705
172.61,-72.393
172.85,-71.562
173.10,-72.520
173.34,-69.504
173.58,-73.025
173.83,-70.874
174.07,-72.075
174.32,-71.146
174.56,-73.267
174.80,-72.523
175.05,-70.490
175.29,-71.995
175.54,-72.308
175.78,-68.871
176.03,-71.989
176.27,-73.579
176.51,-69.835
176.76,-74.741
177.00,-74.057
177.25,-70.656
177.49,-73.038
177.73,-71.923
177.98,-72.433
178.22,-72.441
178.47,-71.955
178.71,-69.615
178.96,-72.492
179.20,-71.752
179.44,-73.153
179.69,-71.004
179.93,-71.640
180.18,-74.835
180.42,-72.868
180.66,-70.824
180.91,-73.277
181.15,-69.740
181.40,-70.710
181.64,-69.641
181.88,-70.254
182.13,-71.308
182.37,-69.743
182.62,-73.664
182.86,-72.535
183.11,-71.496
183.35,-69.602
183.59,-69.167
183.84,-70.820
184.08,-70.383
184.33,-72.704
184.57,-69.095
184.81,-72.735
185.06,-71.175
185.30,-69.788
185.55,-71.041
185.79,-71.192
186.04,-70.727
186.28,-70.316
186.52,-68.940
186.77,-69.177
187.01,-70.244
187.26,-69.258
187.50,-68.275
187.74,-69.663
187.99,-69.341
188.23,-71.078
188.48,-69.903
188.72,-70.709
188.96,-70.372
189.21,-69.058
189.45,-71.766
189.70,-71.331
189.94,-71.369
190.19,-72.165
190.43,-69.135
190.67,-71.064
190.92,-72.272
191.16,-70.689
191.41,-72.079
191.65,-69.995
191.89,-72.167
192.14,-70.322
192.38,-69.776
192.63,-72.262
192.87,-69.551
193.12,-71.103
193.36,-70.488
193.60,-74.287
193.85,-69.490
194.09,-71.594
194.34,-68.892
194.58,-70.637
194.82,-70.908
195.07,-70.244
195.31,-71.094
195.56,-71.076
195.80,-71.084
196.04,-68.334
196.29,-71.549
196.53,-68.526
196.78,-68.129
197.02,-68.137
197.27,-68.726
197.51,-69.534
197.75,-68.287
198.00,-71.247
198.24,-71.582
198.49,-71.753
198.73,-69.415
198.97,-69.059
199.22,-69.938
199.46,-70.916
199.71,-69.261
199.95,-70.285
200.20,-66.933
200.44,-70.352
200.68,-67.866
200.93,-70.521
201.17,-69.187
201.42,-68.328
201.66,-69.434
201.90,-68.298
202.15,-70.936
202.39,-69.360
202.64,-67.628
202.88,-66.841
203.12,-69.161
203.37,-71.099
203.61,-70.370
203.86,-72.342
204.10,-70.487
204.35,-71.712
204.59,-71.296
204.83,-74.435
205.08,-68.891
205.32,-70.481
205.57,-70.184
205.81,-70.761
206.05,-69.391
206.30,-67.242
206.54,-71.252
206.79,-69.561
207.03,-69.715
207.28,-68.921
207.52,-71.107
207.76,-70.259
208.01,-69.582
208.25,-68.518
208.50,-71.478
208.74,-70.604
208.98,-68.240
209.23,-65.837
209.47,-67.989
209.72,-67.710
209.96,-67.852
210.21,-68.830
210.45,-68.957
210.69,-69.877
210.94,-69.857
211.18,-71.041
211.43,-72.243
211.67,-69.233
211.91,-71.221
212.16,-69.974
212.40,-68.349
212.65,-69.207
212.89,-66.427
213.13,-65.313
213.38,-68.060
213.62,-69.770
213.87,-68.689
214.11,-66.677
214.36,-69.700
214.60,-69.354
214.84,-71.795
215.09,-67.557
215.33,-68.406
215.58,-67.360
215.82,-68.893
216.06,-68.923
216.31,-68.655
216.55,-69.421
216.80,-70.047
217.04,-68.293
217.29,-69.329
217.53,-68.098
217.77,-67.264
218.02,-67.876
218.26,-67.839
218.51,-67.633
218.75,-67.133
218.99,-68.583
219.24,-68.986
219.48,-70.701
219.73,-68.818
219.97,-66.363
220.21,-66.355
220.46,-66.652
220.70,-69.873
220.95,-68.428
221.19,-70.012
221.44,-66.875
221.68,-68.006
221.92,-67.826
222.17,-67.832
222.41,-67.234
222.66,-67.758
222.90,-68.153
223.14,-70.133
223.39,-71.329
223.63,-68.293
223.88,-67.272
224.12,-66.467
224.37,-67.327
224.61,-67.248
224.85,-68.876
225.10,-66.514
225.34,-66.277
225.59,-66.876
225.83,-64.868
226.07,-66.803
226.32,-68.501
226.56,-68.571
226.81,-65.008
227.05,-66.600
227.29,-68.352
227.54,-67.752
227.78,-67.613
228.03,-66.178
228.27,-67.864
228.52,-66.556
228.76,-67.167
229.00,-65.653
229.25,-67.011
229.49,-65.560
229.74,-67.304
229.98,-66.343
230.22,-67.445
230.47,-65.459
230.71,-65.113
230.96,-66.171
231.20,-64.792
231.45,-67.676
231.69,-66.773
231.93,-65.594
232.18,-67.170
232.42,-66.038
232.67,-63.921
232.91,-64.631
233.15,-63.622
233.40,-64.802
233.64,-66.033
233.89,-65.388
234.13,-64.541
234.38,-63.419
234.62,-63.466
234.86,-64.438
235.11,-65.366
235.35,-64.138
235.60,-65.310
235.84,-64.042
236.08,-64.946
236.33,-66.130
236.57,-66.249
236.82,-64.423
237.06,-63.890
237.30,-66.238
237.55,-65.295
237.79,-64.628
238.04,-66.433
238.28,-65.480
238.53,-64.813
238.77,-67.221
239.01,-66.483
239.26,-64.119
239.50,-66.256
239.75,-63.239
239.99,-66.690
240.23,-66.923
240.48,-65.356
240.72,-66.561
240.97,-64.610
241.21,-62.853
241.46,-65.901
241.70,-62.953
241.94,-66.508
242.19,-64.711
242.43,-64.803
242.68,-65.080
242.92,-66.619
243.16,-63.895
243.41,-64.163
243.65,-63.283
243.90,-65.245
244.14,-62.545
244.38,-62.951
244.63,-62.371
244.87,-62.413
245.12,-63.033
245.36,-62.458
245.61,-63.643
245.85,-66.822
246.09,-63.370
246.34,-66.455
246.58,-63.648
246.83,-62.918
247.07,-63.265
247.31,-63.839
247.56,-65.027
247.80,-62.004
248.05,-62.249
248.29,-61.518
248.54,-63.216
