Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-96.577
0.98,-96.630
1.46,-95.961
1.95,-95.915
2.44,-96.319
2.93,-95.279
3.42,-94.498
3.91,-94.932
4.39,-94.468
4.88,-91.926
5.37,-90.675
5.86,-88.418
6.35,-89.732
6.84,-90.527
7.32,-90.803
7.81,-89.323
8.30,-87.611
8.79,-86.721
9.28,-86.329
9.77,-83.547
10.25,-83.755
10.74,-81.986
11.23,-82.908
11.72,-83.803
12.21,-84.640
12.70,-83.306
13.18,-80.063
13.67,-79.995
14.16,-80.811
14.65,-81.152
15.14,-78.521
15.62,-77.820
16.11,-82.402
16.60,-84.017
17.09,-83.886
17.58,-83.221
18.07,-82.946
18.55,-81.572
19.04,-83.094
19.53,-80.341
20.02,-79.849
20.51,-84.252
21.00,-84.375
21.48,-84.665
21.97,-83.551
22.46,-83.128
22.95,-84.407
23.44,-81.044
23.93,-81.259
24.41,-79.878
24.90,-80.925
25.39,-78.912
25.88,-78.188
26.37,-73.590
26.86,-74.250
27.34,-75.087
27.83,-74.884
28.32,-72.866
28.81,-62.788
29.30,-70.505
29.79,-64.353
30.27,-73.351
30.76,-73.929
31.25,-74.087
31.74,-73.774
32.23,-72.830
32.71,-75.243
33.20,-73.502
33.69,-68.716
34.18,-69.964
34.67,-65.745
35.16,-67.785
35.64,-73.164
36.13,-73.833
36.62,-75.622
37.11,-74.470
37.60,-76.514
38.09,-75.469
38.57,-75.304
39.06,-74.911
39.55,-72.094
40.04,-75.544
40.53,-77.419
41.02,-77.329
41.50,-74.783
41.99,-74.911
42.48,-72.186
42.97,-72.210
43.46,-74.079
43.95,-72.446
44.43,-73.779
44.92,-74.277
45.41,-71.945
45.90,-77.949
46.39,-77.400
46.88,-73.938
47.36,-73.902
47.85,-76.994
48.34,-76.372
48.83,-76.556
49.32,-76.536
49.80,-75.376
50.29,-75.232
50.78,-74.174
51.27,-77.953
51.76,-73.837
52.25,-72.237
52.73,-76.337
53.22,-74.703
53.71,-75.415
54.20,-76.107
54.69,-73.499
55.18,-75.599
55.66,-75.410
56.15,-76.521
56.64,-75.951
57.13,-76.768
57.62,-72.417
58.11,-69.470
58.59,-68.234
59.08,-70.254
59.57,-73.358
60.06,-76.441
60.55,-75.847
61.04,-78.956
61.52,-77.969
62.01,-78.293
62.50,-73.284
62.99,-70.835
63.48,-73.799
63.96,-76.437
64.45,-77.113
64.94,-77.349
65.43,-76.967
65.92,-74.716
66.41,-75.999
66.89,-73.642
67.38,-74.779
67.87,-73.129
68.36,-73.339
68.85,-72.536
69.34,-70.422
69.82,-73.289
70.31,-72.518
70.80,-74.986
71.29,-74.767
71.78,-75.128
