Frequency (Hz),FFT Magnitude (dB)
172.36,-73.006
172.85,-70.993
173.34,-68.590
173.83,-72.298
174.32,-74.090
174.80,-73.337
175.29,-73.716
175.78,-72.990
176.27,-73.525
176.76,-73.250
177.25,-73.316
177.73,-72.544
178.22,-71.888
178.71,-72.233
179.20,-72.581
179.69,-71.605
180.18,-72.933
180.66,-73.280
181.15,-72.651
181.64,-72.951
182.13,-71.891
182.62,-72.941
183.11,-73.112
183.59,-74.100
184.08,-73.231
184.57,-74.039
185.06,-72.131
185.55,-71.455
186.04,-69.313
186.52,-67.447
187.01,-69.129
187.50,-71.956
187.99,-72.190
188.48,-71.068
188.96,-70.726
189.45,-70.392
189.94,-70.621
190.43,-71.152
190.92,-72.694
191.41,-73.432
191.89,-72.962
192.38,-74.796
192.87,-75.048
193.36,-74.921
193.85,-76.628
194.34,-74.587
194.82,-76.182
195.31,-75.840
195.80,-74.728
196.29,-75.139
196.78,-75.061
197.27,-74.873
197.75,-75.360
198.24,-76.183
198.73,-76.116
199.22,-77.331
199.71,-72.188
200.20,-74.918
200.68,-76.528
201.17,-77.901
201.66,-77.642
202.15,-75.647
202.64,-77.654
203.12,-78.177
203.61,-75.697
204.10,-75.255
204.59,-76.269
205.08,-75.079
205.57,-74.389
206.05,-75.358
206.54,-75.572
207.03,-74.768
207.52,-72.249
208.01,-60.561
208.50,-74.187
208.98,-76.067
209.47,-77.809
209.96,-76.162
210.45,-76.286
210.94,-76.359
211.43,-75.714
211.91,-73.942
212.40,-74.432
212.89,-73.707
213.38,-72.016
213.87,-74.829
214.36,-73.979
214.84,-75.509
215.33,-74.463
215.82,-76.446
216.31,-76.936
216.80,-77.882
217.29,-76.941
217.77,-78.250
218.26,-78.777
218.75,-78.046
219.24,-78.017
219.73,-75.817
220.21,-77.141
220.70,-75.848
221.19,-73.857
221.68,-73.637
222.17,-74.833
222.66,-75.732
223.14,-75.656
223.63,-75.959
224.12,-78.890
224.61,-77.457
225.10,-75.239
225.59,-77.526
226.07,-75.243
226.56,-73.431
227.05,-77.493
227.54,-78.811
228.03,-80.160
228.52,-78.509
229.00,-79.158
229.49,-77.522
229.98,-76.601
230.47,-76.439
230.96,-78.369
231.45,-77.210
231.93,-74.448
232.42,-76.118
232.91,-77.584
233.40,-76.038
233.89,-78.246
234.38,-76.722
234.86,-78.581
235.35,-75.967
235.84,-77.998
236.33,-75.251
236.82,-74.554
237.30,-73.755
237.79,-73.154
238.28,-73.237
238.77,-70.924
239.26,-67.506
239.75,-62.401
240.23,-61.888
240.72,-70.339
241.21,-71.984
241.70,-72.942
242.19,-72.704
242.68,-73.899
243.16,-74.031
243.65,-75.222
244.14,-76.920
244.63,-73.648
245.12,-77.425
245.61,-79.673
246.09,-79.099
246.58,-79.302
247.07,-78.262
247.56,-77.929
248.05,-76.890
248.54,-76.137
249.02,-76.366
249.51,-76.944
250.00,-76.737
250.49,-75.193
250.98,-72.921
251.46,-75.019
251.95,-74.209
252.44,-74.679
252.93,-72.652
253.42,-73.541
253.91,-75.236
254.39,-78.527
254.88,-78.565
255.37,-78.322
255.86,-78.490
256.35,-77.479
256.84,-79.495
257.32,-79.956
257.81,-78.393
258.30,-79.569
258.79,-80.664
259.28,-77.231
259.77,-77.028
260.25,-79.818
260.74,-79.456
261.23,-79.172
261.72,-78.123
262.21,-80.916
262.70,-82.038
263.18,-81.672
263.67,-81.499
264.16,-82.753
264.65,-83.747
265.14,-84.169
265.62,-82.475
266.11,-75.889
266.60,-80.535
267.09,-74.695
267.58,-76.006
268.07,-81.086
268.55,-80.745
269.04,-82.025
269.53,-82.590
270.02,-81.166
270.51,-79.960
271.00,-81.051
271.48,-81.946
271.97,-81.777
272.46,-81.170
272.95,-81.924
273.44,-82.582
273.93,-82.463
274.41,-81.811
274.90,-84.031
275.39,-83.682
275.88,-83.007
276.37,-83.173
276.86,-83.190
277.34,-83.825
277.83,-82.938
278.32,-82.691
278.81,-81.706
279.30,-77.595
279.79,-73.513
280.27,-79.867
280.76,-82.542
281.25,-82.833
281.74,-83.114
282.23,-82.336
282.71,-83.094
283.20,-81.708
283.69,-84.233
284.18,-84.155
284.67,-84.978
285.16,-83.459
285.64,-85.189
286.13,-84.283
286.62,-83.966
287.11,-82.485
287.60,-84.989
288.09,-83.991
288.57,-84.447
289.06,-83.616
289.55,-83.895
290.04,-83.660
290.53,-84.216
291.02,-83.304
291.50,-83.785
291.99,-85.026
292.48,-83.891
292.97,-80.780
293.46,-82.090
293.95,-83.788
294.43,-83.386
294.92,-82.687
295.41,-83.741
295.90,-82.992
296.39,-82.684
296.88,-81.036
297.36,-82.224
297.85,-82.133
298.34,-86.063
298.83,-83.467
299.32,-81.394
299.80,-82.921
300.29,-82.706
300.78,-84.024
301.27,-83.813
301.76,-82.736
302.25,-81.832
302.73,-81.910
303.22,-80.298
303.71,-80.939
304.20,-81.951
304.69,-82.415
305.18,-82.064
305.66,-82.849
306.15,-83.268
306.64,-83.290
307.13,-84.541
307.62,-85.355
308.11,-83.969
308.59,-82.594
309.08,-84.988
309.57,-83.446
310.06,-83.973
310.55,-84.446
311.04,-83.354
311.52,-85.043
312.01,-85.554
312.50,-85.825
312.99,-86.000
313.48,-86.031
313.96,-87.077
314.45,-86.888
314.94,-86.109
315.43,-85.979
315.92,-87.817
316.41,-86.482
316.89,-86.123
317.38,-84.656
317.87,-83.865
318.36,-85.128
318.85,-86.999
319.34,-84.745
319.82,-86.454
320.31,-86.505
320.80,-86.469
321.29,-86.164
321.78,-84.983
322.27,-82.963
322.75,-84.436
323.24,-84.700
323.73,-86.942
324.22,-85.825
324.71,-87.476
325.20,-85.137
325.68,-84.723
326.17,-85.805
326.66,-84.385
327.15,-83.760
327.64,-86.489
328.12,-85.877
328.61,-85.583
329.10,-86.438
329.59,-85.942
330.08,-84.141
330.57,-82.949
331.05,-81.183
331.54,-84.430
332.03,-84.588
332.52,-84.922
333.01,-86.342
333.50,-87.124
333.98,-85.499
334.47,-86.148
334.96,-85.716
335.45,-85.953
335.94,-87.660
336.43,-86.299
336.91,-87.799
337.40,-87.666
337.89,-87.613
338.38,-87.309
338.87,-87.432
339.36,-88.357
339.84,-87.238
340.33,-88.119
340.82,-86.599
341.31,-88.046
341.80,-85.839
342.29,-86.958
342.77,-88.131
343.26,-88.248
343.75,-87.368
344.24,-85.083
344.73,-86.298
345.21,-87.603
345.70,-85.393
346.19,-82.948
346.68,-84.291
347.17,-85.384
347.66,-81.318
348.14,-85.921
348.63,-85.224
349.12,-84.684
349.61,-84.932
350.10,-84.790
350.59,-85.431
351.07,-85.818
351.56,-85.535
352.05,-87.450
352.54,-86.234
353.03,-85.997
353.52,-87.447
354.00,-86.438
354.49,-86.606
354.98,-86.624
355.47,-87.754
355.96,-86.620
356.45,-79.498
356.93,-88.207
357.42,-87.808
357.91,-86.786
358.40,-86.328
358.89,-85.220
359.38,-82.748
359.86,-81.384
360.35,-83.145
360.84,-81.915
361.33,-81.240
361.82,-84.232
362.30,-85.069
362.79,-85.938
363.28,-84.479
363.77,-84.016
364.26,-85.128
364.75,-85.373
365.23,-83.142
365.72,-82.974
366.21,-84.040
366.70,-81.610
367.19,-83.221
367.68,-83.831
368.16,-84.361
368.65,-83.683
369.14,-82.553
369.63,-85.179
370.12,-84.380
370.61,-84.321
371.09,-83.998
371.58,-83.300
372.07,-82.876
372.56,-79.164
373.05,-81.568
373.54,-83.243
374.02,-85.303
374.51,-85.291
375.00,-87.554
375.49,-87.589
375.98,-87.843
376.46,-87.777
376.95,-86.695
377.44,-87.860
377.93,-87.114
378.42,-87.389
378.91,-86.644
379.39,-85.810
379.88,-86.506
380.37,-84.777
380.86,-85.396
381.35,-84.380
381.84,-84.509
382.32,-85.413
382.81,-86.384
383.30,-84.953
383.79,-84.597
384.28,-85.566
384.77,-86.313
385.25,-85.855
385.74,-86.335
386.23,-86.978
386.72,-84.980
387.21,-87.511
387.70,-85.721
388.18,-85.612
388.67,-87.128
389.16,-86.502
389.65,-86.715
390.14,-88.478
390.62,-88.509
391.11,-88.112
391.60,-87.164
392.09,-85.222
392.58,-85.446
393.07,-84.527
393.55,-86.500
394.04,-84.952
394.53,-83.163
395.02,-83.744
395.51,-83.746
396.00,-85.665
396.48,-85.288
396.97,-84.103
397.46,-83.963
397.95,-84.831
398.44,-85.201
