Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-102.164
0.49,-102.128
0.73,-102.250
0.98,-102.124
1.22,-102.367
1.46,-101.643
1.71,-101.423
1.95,-102.020
2.20,-100.745
2.44,-100.697
2.69,-99.736
2.93,-100.771
3.17,-99.515
3.42,-98.451
3.66,-99.333
3.91,-98.121
4.15,-97.627
4.39,-99.014
4.64,-98.021
4.88,-94.330
5.13,-95.681
5.37,-95.023
5.62,-92.198
5.86,-92.830
6.10,-93.437
6.35,-93.841
6.59,-94.198
6.84,-95.491
7.08,-94.660
7.32,-96.189
7.57,-94.186
7.81,-97.453
8.06,-94.394
8.30,-91.393
8.54,-90.360
8.79,-88.904
9.03,-90.946
9.28,-89.327
9.52,-89.158
9.77,-88.168
10.01,-87.247
10.25,-87.937
10.50,-83.030
10.74,-83.752
10.99,-85.513
11.23,-85.132
11.47,-86.673
11.72,-85.674
11.96,-85.814
12.21,-88.413
12.45,-91.101
12.70,-91.117
12.94,-80.519
13.18,-84.345
13.43,-85.210
13.67,-83.299
13.92,-82.288
14.16,-85.846
14.40,-86.487
14.65,-85.118
14.89,-84.358
15.14,-81.097
15.38,-82.990
15.62,-81.663
15.87,-82.728
16.11,-86.466
16.36,-86.331
16.60,-87.205
16.85,-88.110
17.09,-86.565
17.33,-88.613
17.58,-85.670
17.82,-85.868
18.07,-86.761
18.31,-86.399
18.55,-87.356
18.80,-86.217
19.04,-83.081
19.29,-85.193
19.53,-83.925
19.78,-84.678
20.02,-83.899
20.26,-84.058
20.51,-85.709
20.75,-87.783
21.00,-87.979
21.24,-86.349
21.48,-88.555
21.73,-86.159
21.97,-89.169
22.22,-89.325
22.46,-87.651
22.71,-87.877
22.95,-85.410
23.19,-86.510
23.44,-84.462
23.68,-84.590
23.93,-82.352
24.17,-82.911
24.41,-83.754
24.66,-83.732
24.90,-85.320
25.15,-80.597
25.39,-80.899
25.63,-79.887
25.88,-83.113
26.12,-78.015
26.37,-76.796
26.61,-76.163
26.86,-78.313
27.10,-79.209
27.34,-79.488
27.59,-78.002
27.83,-78.835
28.08,-76.673
28.32,-76.540
28.56,-68.319
28.81,-62.429
29.05,-73.945
29.30,-76.691
29.54,-69.348
29.79,-71.773
30.03,-78.746
30.27,-77.562
30.52,-77.845
30.76,-77.826
31.01,-77.362
31.25,-79.532
31.49,-67.440
31.74,-76.614
31.98,-78.184
32.23,-77.899
32.47,-72.624
32.71,-77.928
32.96,-75.656
33.20,-75.114
33.45,-77.435
33.69,-73.156
33.94,-75.019
34.18,-71.942
34.42,-70.907
34.67,-63.104
34.91,-71.092
35.16,-70.047
35.40,-74.289
35.64,-76.719
35.89,-76.518
36.13,-75.591
36.38,-77.698
36.62,-79.662
36.87,-80.097
37.11,-78.685
37.35,-79.440
37.60,-76.921
37.84,-78.226
38.09,-79.756
38.33,-77.469
38.57,-79.760
38.82,-78.979
39.06,-82.190
39.31,-78.893
39.55,-76.400
39.79,-74.364
40.04,-80.755
40.28,-81.608
40.53,-79.131
40.77,-82.456
41.02,-80.662
41.26,-79.898
41.50,-80.156
41.75,-79.055
41.99,-80.904
42.24,-78.278
42.48,-76.253
42.72,-75.756
42.97,-74.703
43.21,-75.956
43.46,-75.724
43.70,-77.041
43.95,-79.134
44.19,-80.414
44.43,-78.131
44.68,-76.121
44.92,-77.489
45.17,-79.743
45.41,-73.521
45.65,-80.991
45.90,-80.456
46.14,-82.591
46.39,-81.900
46.63,-79.293
46.88,-79.315
47.12,-74.269
47.36,-74.989
47.61,-80.053
47.85,-81.308
48.10,-81.077
48.34,-79.811
48.58,-80.260
48.83,-79.593
49.07,-79.567
49.32,-79.216
49.56,-76.229
49.80,-82.024
50.05,-79.120
50.29,-79.956
50.54,-80.851
50.78,-79.512
51.03,-77.733
51.27,-78.584
51.51,-80.166
51.76,-79.175
52.00,-78.575
52.25,-76.731
52.49,-78.484
52.73,-79.148
52.98,-77.574
53.22,-76.452
53.47,-80.176
53.71,-78.961
53.96,-80.356
54.20,-77.171
54.44,-80.576
54.69,-82.159
54.93,-79.084
55.18,-77.754
55.42,-79.855
55.66,-81.904
55.91,-81.300
56.15,-81.591
56.40,-79.456
56.64,-83.061
56.88,-82.219
57.13,-82.141
57.37,-78.454
57.62,-77.610
57.86,-73.409
58.11,-75.479
58.35,-75.215
58.59,-71.021
58.84,-77.524
59.08,-72.242
59.33,-71.287
59.57,-77.348
59.81,-82.410
60.06,-82.503
60.30,-82.062
60.55,-82.476
60.79,-81.184
61.04,-83.586
61.28,-82.892
61.52,-83.276
61.77,-83.286
62.01,-81.689
62.26,-77.032
62.50,-81.427
62.74,-81.172
62.99,-72.462
63.23,-80.599
63.48,-80.952
63.72,-78.529
63.96,-82.718
64.21,-80.403
64.45,-80.187
64.70,-79.155
64.94,-78.076
65.19,-78.340
65.43,-80.639
65.67,-79.043
65.92,-81.753
66.16,-80.992
66.41,-81.373
66.65,-80.832
66.89,-77.055
67.14,-79.969
67.38,-78.363
67.63,-77.759
67.87,-77.761
68.12,-76.067
68.36,-78.064
68.60,-76.784
68.85,-77.654
69.09,-74.302
69.34,-75.329
69.58,-77.652
69.82,-78.498
70.07,-80.196
70.31,-79.019
70.56,-80.284
70.80,-80.371
71.04,-82.058
71.29,-80.606
71.53,-83.208
71.78,-81.708
72.02,-80.048
72.27,-78.447
72.51,-82.461
72.75,-81.857
73.00,-82.126
73.24,-84.733
73.49,-83.922
73.73,-81.712
73.97,-82.090
74.22,-79.321
74.46,-82.098
74.71,-83.023
74.95,-81.879
75.20,-80.560
75.44,-79.710
75.68,-79.056
75.93,-80.814
76.17,-79.733
76.42,-80.624
76.66,-81.114
76.90,-80.857
77.15,-81.850
77.39,-82.024
77.64,-81.092
77.88,-79.728
78.12,-78.749
78.37,-80.949
78.61,-80.838
78.86,-78.869
79.10,-78.785
79.35,-79.949
79.59,-78.485
79.83,-74.445
80.08,-79.642
80.32,-78.103
80.57,-79.792
80.81,-79.982
81.05,-77.915
81.30,-80.600
81.54,-78.448
81.79,-78.778
82.03,-82.198
82.28,-81.335
82.52,-79.414
82.76,-81.586
83.01,-80.264
83.25,-81.495
83.50,-80.310
83.74,-81.251
83.98,-81.037
84.23,-80.436
84.47,-81.084
84.72,-78.771
84.96,-80.238
85.21,-80.445
85.45,-81.327
85.69,-83.157
85.94,-82.669
86.18,-80.662
86.43,-80.479
86.67,-78.116
86.91,-79.056
87.16,-81.053
87.40,-80.949
87.65,-81.360
87.89,-79.703
88.13,-78.602
88.38,-80.720
88.62,-80.718
88.87,-72.091
89.11,-73.970
89.36,-77.574
89.60,-78.973
89.84,-80.137
90.09,-80.310
90.33,-78.562
90.58,-79.189
90.82,-75.992
91.06,-79.303
91.31,-80.005
91.55,-79.552
91.80,-77.707
92.04,-79.488
92.29,-80.502
92.53,-79.355
92.77,-79.357
93.02,-79.379
93.26,-76.429
93.51,-73.760
93.75,-70.756
93.99,-77.661
94.24,-79.698
94.48,-79.912
94.73,-79.068
94.97,-81.338
95.21,-80.933
95.46,-81.502
95.70,-80.463
95.95,-79.789
96.19,-79.687
96.44,-80.337
96.68,-80.304
96.92,-78.883
97.17,-81.164
97.41,-83.140
97.66,-81.788
97.90,-80.582
98.14,-79.157
98.39,-77.939
98.63,-78.760
98.88,-73.840
99.12,-79.826
99.37,-80.708
99.61,-82.329
99.85,-81.373
100.10,-81.851
100.34,-78.249
100.59,-80.997
100.83,-79.013
101.07,-80.031
101.32,-81.280
101.56,-80.061
101.81,-79.288
102.05,-78.090
102.29,-77.375
102.54,-81.492
102.78,-78.535
103.03,-79.132
103.27,-75.338
103.52,-77.055
103.76,-77.728
104.00,-77.207
104.25,-78.404
104.49,-77.073
104.74,-77.251
104.98,-75.934
105.22,-77.966
105.47,-75.468
105.71,-75.251
105.96,-77.536
106.20,-77.585
106.45,-72.537
106.69,-76.506
106.93,-77.949
107.18,-78.571
107.42,-78.122
107.67,-76.762
107.91,-77.346
108.15,-77.698
108.40,-77.324
108.64,-77.400
108.89,-75.958
109.13,-75.547
109.38,-77.520
109.62,-76.456
109.86,-77.339
110.11,-79.582
110.35,-76.724
110.60,-75.986
110.84,-78.069
111.08,-75.483
111.33,-74.805
111.57,-75.295
111.82,-75.562
112.06,-76.115
112.30,-75.698
112.55,-75.686
112.79,-74.004
113.04,-73.237
113.28,-72.803
113.53,-74.524
113.77,-71.072
114.01,-74.206
114.26,-73.459
114.50,-72.507
114.75,-74.720
114.99,-75.283
115.23,-76.186
115.48,-75.307
115.72,-75.804
115.97,-74.802
116.21,-76.527
116.46,-74.422
116.70,-73.582
116.94,-74.609
117.19,-73.611
117.43,-74.054
117.68,-74.127
117.92,-73.428
118.16,-71.696
118.41,-69.604
118.65,-68.592
118.90,-66.995
119.14,-66.307
119.38,-64.057
119.63,-59.619
119.87,-50.586
120.12,-49.446
120.36,-59.654
120.61,-64.143
120.85,-67.051
121.09,-67.907
121.34,-69.741
121.58,-70.082
121.83,-71.321
122.07,-72.636
122.31,-65.684
122.56,-74.238
122.80,-75.424
123.05,-77.320
123.29,-75.961
123.54,-77.187
123.78,-77.391
124.02,-77.790
124.27,-77.507
124.51,-78.553
124.76,-78.532
125.00,-79.657
125.24,-78.576
125.49,-77.083
125.73,-76.690
125.98,-78.440
126.22,-77.304
126.46,-77.751
126.71,-76.916
126.95,-76.648
127.20,-78.014
127.44,-77.325
127.69,-75.747
127.93,-72.654
128.17,-77.809
128.42,-75.672
128.66,-77.198
128.91,-74.503
129.15,-75.053
129.39,-76.271
129.64,-77.774
129.88,-76.000
130.13,-75.706
130.37,-73.160
130.62,-76.252
130.86,-73.463
131.10,-72.757
131.35,-71.480
131.59,-71.853
131.84,-71.885
132.08,-71.833
132.32,-68.119
132.57,-65.798
132.81,-61.287
133.06,-49.039
133.30,-56.234
133.54,-57.270
133.79,-65.678
134.03,-68.995
134.28,-71.692
134.52,-72.957
134.77,-73.064
135.01,-75.568
135.25,-73.365
135.50,-75.786
135.74,-74.773
135.99,-77.967
136.23,-75.437
136.47,-77.713
136.72,-77.110
136.96,-77.796
137.21,-75.389
137.45,-74.530
137.70,-76.383
137.94,-77.889
138.18,-75.505
138.43,-74.708
138.67,-77.536
138.92,-74.389
139.16,-76.980
139.40,-77.265
139.65,-72.421
139.89,-73.706
140.14,-73.557
140.38,-76.002
140.62,-75.191
140.87,-74.194
141.11,-74.064
141.36,-74.435
141.60,-74.346
141.85,-75.491
142.09,-74.967
142.33,-76.064
142.58,-74.280
142.82,-77.195
143.07,-75.173
143.31,-75.164
143.55,-77.632
143.80,-73.495
144.04,-74.347
144.29,-74.989
144.53,-72.557
144.78,-76.587
145.02,-74.007
145.26,-73.169
145.51,-77.402
145.75,-74.832
146.00,-75.298
146.24,-72.055
146.48,-71.119
146.73,-72.163
146.97,-71.293
147.22,-73.773
147.46,-76.632
147.71,-72.731
147.95,-69.288
148.19,-68.557
148.44,-61.699
148.68,-66.835
148.93,-70.204
149.17,-70.353
149.41,-70.382
149.66,-68.676
149.90,-68.597
150.15,-69.225
150.39,-68.166
150.63,-68.385
150.88,-67.841
151.12,-66.375
151.37,-70.518
151.61,-71.679
151.86,-66.257
152.10,-67.822
152.34,-67.795
152.59,-67.050
152.83,-67.059
153.08,-69.030
153.32,-67.974
