Frequency (Hz),FFT Magnitude (dB)
172.36,-72.417
172.85,-70.267
173.34,-69.131
173.83,-72.151
174.32,-73.776
174.80,-74.161
175.29,-72.367
175.78,-74.550
176.27,-74.966
176.76,-73.024
177.25,-72.614
177.73,-71.573
178.22,-72.618
178.71,-71.825
179.20,-72.296
179.69,-70.888
180.18,-71.406
180.66,-74.212
181.15,-73.157
181.64,-74.872
182.13,-74.163
182.62,-76.537
183.11,-75.708
183.59,-74.231
184.08,-72.726
184.57,-73.222
185.06,-71.858
185.55,-70.746
186.04,-69.946
186.52,-68.607
187.01,-69.805
187.50,-71.532
187.99,-71.247
188.48,-70.515
188.96,-71.291
189.45,-70.084
189.94,-72.135
190.43,-71.618
190.92,-73.071
191.41,-73.114
191.89,-72.339
192.38,-74.275
192.87,-73.343
193.36,-75.117
193.85,-77.464
194.34,-76.820
194.82,-77.865
195.31,-76.108
195.80,-75.143
196.29,-74.722
196.78,-75.405
197.27,-76.353
197.75,-76.454
198.24,-77.036
198.73,-75.431
199.22,-75.509
199.71,-72.813
200.20,-76.180
200.68,-77.135
201.17,-75.761
201.66,-77.350
202.15,-78.916
202.64,-77.560
203.12,-76.281
203.61,-75.529
204.10,-75.754
204.59,-74.776
205.08,-73.443
205.57,-73.940
206.05,-77.128
206.54,-75.678
207.03,-73.966
207.52,-71.374
208.01,-61.139
208.50,-74.872
208.98,-76.566
209.47,-75.228
209.96,-75.454
210.45,-75.695
210.94,-76.714
211.43,-76.426
211.91,-75.335
212.40,-74.596
212.89,-72.979
213.38,-71.951
213.87,-75.878
214.36,-74.707
214.84,-73.930
215.33,-76.205
215.82,-77.081
216.31,-76.830
216.80,-78.293
217.29,-79.970
217.77,-79.919
218.26,-78.849
218.75,-77.962
219.24,-78.332
219.73,-77.356
220.21,-76.569
220.70,-76.221
221.19,-75.640
221.68,-75.506
222.17,-76.430
222.66,-76.520
223.14,-75.543
223.63,-75.206
224.12,-76.566
224.61,-77.806
225.10,-78.052
225.59,-76.377
226.07,-75.800
226.56,-72.573
227.05,-77.030
227.54,-77.190
228.03,-80.351
228.52,-79.669
229.00,-77.717
229.49,-77.807
229.98,-76.288
230.47,-77.294
230.96,-77.061
231.45,-75.307
231.93,-77.206
232.42,-77.184
232.91,-76.732
233.40,-76.130
233.89,-78.338
234.38,-77.703
234.86,-78.435
235.35,-77.239
235.84,-75.500
236.33,-76.014
236.82,-74.484
237.30,-73.253
237.79,-73.973
238.28,-73.910
238.77,-72.540
239.26,-69.397
239.75,-62.362
240.23,-62.660
240.72,-70.888
241.21,-72.039
241.70,-73.508
242.19,-73.089
242.68,-73.456
243.16,-73.591
243.65,-76.221
244.14,-74.876
244.63,-75.683
245.12,-77.505
245.61,-78.625
246.09,-77.746
246.58,-80.398
247.07,-79.414
247.56,-77.824
248.05,-78.155
248.54,-78.551
249.02,-75.350
249.51,-76.078
250.00,-74.989
250.49,-75.064
250.98,-73.756
251.46,-75.503
251.95,-73.210
252.44,-73.596
252.93,-71.422
253.42,-73.485
253.91,-77.694
254.39,-77.468
254.88,-78.068
255.37,-79.818
255.86,-76.865
256.35,-78.434
256.84,-78.735
257.32,-78.552
257.81,-80.150
258.30,-79.753
258.79,-79.444
259.28,-79.466
259.77,-79.522
260.25,-80.679
260.74,-80.977
261.23,-79.809
261.72,-78.872
262.21,-80.771
262.70,-80.647
263.18,-81.686
263.67,-82.595
264.16,-81.352
264.65,-82.124
265.14,-83.262
265.62,-82.367
266.11,-76.854
266.60,-79.040
267.09,-74.695
267.58,-75.851
268.07,-80.633
268.55,-81.421
269.04,-80.971
269.53,-81.270
270.02,-81.287
270.51,-80.018
271.00,-80.810
271.48,-81.910
271.97,-78.761
272.46,-81.503
272.95,-82.522
273.44,-80.708
273.93,-83.240
274.41,-82.796
274.90,-84.414
275.39,-82.373
275.88,-83.208
276.37,-84.686
276.86,-83.402
277.34,-83.695
277.83,-83.372
278.32,-83.870
278.81,-83.529
279.30,-77.588
279.79,-73.200
280.27,-79.328
280.76,-81.356
281.25,-81.375
281.74,-80.902
282.23,-80.135
282.71,-81.491
283.20,-83.855
283.69,-83.833
284.18,-85.488
284.67,-83.397
285.16,-83.138
285.64,-83.257
286.13,-83.774
286.62,-83.479
287.11,-83.772
287.60,-82.762
288.09,-82.696
288.57,-83.659
289.06,-85.747
289.55,-83.053
290.04,-82.321
290.53,-82.532
291.02,-83.555
291.50,-84.439
291.99,-83.145
292.48,-83.027
292.97,-80.710
293.46,-81.599
293.95,-83.550
294.43,-82.281
294.92,-81.217
295.41,-81.533
295.90,-81.757
296.39,-80.466
296.88,-82.687
297.36,-81.520
297.85,-82.474
298.34,-84.160
298.83,-81.810
299.32,-82.568
299.80,-81.878
300.29,-82.316
300.78,-80.781
301.27,-82.894
301.76,-81.473
302.25,-83.204
302.73,-82.451
303.22,-82.987
303.71,-82.883
304.20,-83.304
304.69,-80.585
305.18,-82.100
305.66,-82.340
306.15,-83.206
306.64,-83.732
307.13,-83.434
307.62,-82.815
308.11,-82.911
308.59,-84.171
309.08,-82.114
309.57,-82.284
310.06,-81.355
310.55,-79.841
311.04,-81.159
311.52,-83.634
312.01,-82.053
312.50,-82.622
312.99,-85.855
313.48,-84.531
313.96,-85.398
314.45,-85.226
314.94,-85.238
315.43,-85.979
315.92,-84.029
316.41,-85.768
316.89,-84.971
317.38,-84.141
317.87,-84.943
318.36,-83.484
318.85,-83.971
319.34,-82.770
319.82,-84.408
320.31,-85.218
320.80,-86.294
321.29,-85.901
321.78,-84.543
322.27,-84.728
322.75,-84.637
323.24,-86.306
323.73,-85.516
324.22,-84.513
324.71,-84.320
325.20,-83.847
325.68,-85.291
326.17,-84.762
326.66,-86.722
327.15,-83.424
327.64,-85.117
328.12,-85.037
328.61,-83.774
329.10,-85.435
329.59,-84.708
330.08,-82.103
330.57,-82.175
331.05,-83.411
331.54,-82.508
332.03,-83.954
332.52,-85.739
333.01,-83.497
333.50,-85.596
333.98,-85.224
334.47,-85.196
334.96,-85.147
335.45,-85.633
335.94,-87.330
336.43,-88.791
336.91,-86.302
337.40,-85.201
337.89,-87.304
338.38,-86.882
338.87,-87.376
339.36,-86.827
339.84,-86.566
340.33,-85.735
340.82,-83.807
341.31,-85.520
341.80,-85.108
342.29,-88.484
342.77,-86.274
343.26,-85.592
343.75,-87.081
344.24,-86.411
344.73,-85.476
345.21,-85.391
345.70,-84.032
346.19,-81.944
346.68,-82.670
347.17,-82.942
347.66,-82.245
348.14,-83.794
348.63,-85.823
349.12,-85.595
349.61,-84.261
350.10,-84.190
350.59,-84.005
351.07,-84.810
351.56,-85.803
352.05,-86.184
352.54,-87.191
353.03,-84.477
353.52,-85.630
354.00,-85.397
354.49,-85.532
354.98,-86.283
355.47,-85.172
355.96,-85.145
356.45,-77.903
356.93,-84.791
357.42,-86.707
357.91,-85.676
358.40,-86.959
358.89,-83.761
359.38,-83.425
359.86,-81.773
360.35,-82.398
360.84,-78.946
361.33,-80.455
361.82,-84.669
362.30,-84.049
362.79,-82.328
363.28,-84.061
363.77,-83.152
364.26,-83.610
364.75,-83.574
365.23,-81.555
365.72,-81.226
366.21,-82.185
366.70,-82.009
367.19,-81.304
367.68,-82.388
368.16,-85.039
368.65,-83.042
369.14,-82.272
369.63,-82.088
370.12,-82.492
370.61,-82.388
371.09,-82.890
371.58,-84.198
372.07,-82.023
372.56,-78.428
373.05,-79.958
373.54,-82.729
374.02,-83.976
374.51,-83.157
375.00,-83.545
375.49,-83.595
375.98,-84.647
376.46,-84.953
376.95,-83.544
377.44,-83.427
377.93,-85.452
378.42,-86.228
378.91,-84.875
379.39,-84.706
379.88,-84.429
380.37,-83.931
380.86,-82.940
381.35,-82.753
381.84,-84.668
382.32,-84.304
382.81,-83.927
383.30,-83.705
383.79,-83.845
384.28,-83.270
384.77,-83.284
385.25,-83.619
385.74,-85.175
386.23,-84.747
386.72,-85.213
387.21,-84.443
387.70,-85.583
388.18,-87.682
388.67,-84.586
389.16,-87.018
389.65,-86.427
390.14,-85.779
390.62,-86.678
391.11,-85.078
391.60,-84.866
392.09,-85.600
392.58,-83.854
393.07,-83.271
393.55,-82.402
394.04,-82.085
394.53,-80.187
395.02,-83.165
395.51,-81.534
396.00,-81.427
396.48,-82.372
396.97,-82.609
397.46,-82.032
397.95,-84.792
398.44,-83.251
398.93,-79.599
399.41,-74.923
399.90,-83.549
400.39,-82.784
400.88,-85.394
401.37,-85.796
401.86,-84.261
402.34,-86.556
402.83,-86.379
403.32,-84.155
403.81,-87.321
404.30,-86.625
404.79,-85.433
405.27,-85.241
405.76,-84.733
406.25,-86.271
406.74,-87.140
407.23,-87.139
407.71,-86.536
408.20,-86.038
408.69,-87.815
409.18,-86.361
409.67,-85.265
410.16,-87.250
410.64,-86.625
411.13,-86.611
411.62,-86.261
412.11,-85.631
412.60,-85.290
413.09,-85.127
413.57,-87.794
414.06,-86.191
414.55,-85.343
415.04,-86.359
415.53,-85.082
416.02,-85.220
416.50,-85.173
416.99,-86.233
417.48,-85.841
417.97,-85.831
418.46,-87.032
418.95,-86.971
419.43,-85.824
419.92,-85.403
420.41,-83.462
420.90,-86.259
421.39,-86.462
421.88,-85.895
422.36,-87.099
422.85,-85.793
423.34,-84.826
423.83,-84.287
424.32,-83.947
424.80,-84.617
425.29,-84.938
425.78,-83.012
426.27,-83.377
426.76,-85.994
427.25,-86.229
427.73,-85.547
428.22,-84.605
428.71,-83.985
429.20,-85.086
429.69,-87.509
430.18,-86.412
430.66,-84.723
431.15,-85.111
431.64,-85.038
432.13,-85.792
432.62,-85.040
433.11,-84.910
433.59,-83.036
434.08,-84.178
434.57,-84.707
435.06,-84.227
435.55,-85.831
436.04,-83.842
436.52,-82.669
437.01,-82.295
437.50,-83.828
437.99,-80.989
438.48,-82.093
438.96,-82.183
439.45,-82.241
439.94,-84.642
440.43,-83.601
440.92,-83.308
441.41,-83.686
441.89,-83.884
442.38,-82.212
442.87,-83.721
443.36,-84.038
443.85,-83.414
444.34,-83.538
444.82,-82.847
445.31,-82.748
445.80,-82.909
446.29,-85.249
446.78,-85.676
447.27,-84.960
447.75,-85.613
448.24,-84.160
448.73,-86.384
449.22,-84.069
449.71,-83.081
450.20,-85.331
450.68,-84.513
451.17,-83.740
451.66,-84.411
452.15,-83.838
452.64,-84.092
453.12,-84.870
453.61,-82.516
454.10,-82.088
454.59,-82.775
455.08,-82.987
455.57,-83.657
456.05,-83.423
456.54,-82.740
457.03,-82.386
457.52,-83.615
458.01,-83.058
458.50,-84.927
458.98,-82.677
459.47,-81.488
459.96,-82.213
460.45,-81.777
460.94,-83.296
461.43,-83.790
461.91,-84.148
462.40,-80.823
462.89,-83.012
463.38,-83.150
463.87,-82.485
464.36,-82.499
464.84,-84.635
465.33,-83.735
465.82,-82.774
466.31,-82.268
466.80,-85.037
467.29,-83.448
467.77,-82.826
468.26,-82.820
468.75,-82.694
469.24,-81.891
469.73,-82.882
470.21,-82.131
470.70,-83.163
471.19,-84.447
471.68,-83.044
472.17,-85.554
472.66,-84.473
473.14,-85.619
