Frequency (Hz),FFT Magnitude (dB)
86.18,-79.072
86.43,-76.384
86.67,-78.176
86.91,-81.775
87.16,-79.215
87.40,-82.586
87.65,-80.598
87.89,-78.831
88.13,-78.018
88.38,-78.631
88.62,-80.814
88.87,-71.811
89.11,-77.534
89.36,-78.333
89.60,-77.606
89.84,-79.676
90.09,-76.839
90.33,-77.453
90.58,-78.865
90.82,-77.478
91.06,-76.983
91.31,-77.283
91.55,-76.002
91.80,-77.394
92.04,-79.168
92.29,-79.408
92.53,-77.634
92.77,-76.529
93.02,-76.106
93.26,-74.860
93.51,-73.872
93.75,-67.107
93.99,-78.144
94.24,-77.954
94.48,-79.179
94.73,-79.867
94.97,-78.925
95.21,-76.630
95.46,-78.662
95.70,-82.508
95.95,-83.226
96.19,-80.151
96.44,-81.503
96.68,-78.905
96.92,-77.760
97.17,-78.196
97.41,-77.587
97.66,-78.514
97.90,-81.676
98.14,-79.246
98.39,-79.275
98.63,-79.214
98.88,-78.189
99.12,-81.724
99.37,-77.702
99.61,-79.943
99.85,-78.209
100.10,-76.087
100.34,-79.366
100.59,-80.279
100.83,-77.833
101.07,-77.588
101.32,-76.315
101.56,-77.164
101.81,-77.974
102.05,-76.197
102.29,-78.801
102.54,-76.808
102.78,-79.775
103.03,-77.374
103.27,-73.704
103.52,-76.613
103.76,-74.528
104.00,-76.233
104.25,-75.292
104.49,-75.576
104.74,-76.330
104.98,-74.289
105.22,-74.399
105.47,-75.828
105.71,-76.868
105.96,-75.001
106.20,-74.816
106.45,-69.317
106.69,-75.367
106.93,-77.866
107.18,-78.411
107.42,-74.746
107.67,-74.669
107.91,-75.307
108.15,-73.084
108.40,-74.901
108.64,-74.568
108.89,-76.066
109.13,-74.566
109.38,-72.903
109.62,-74.792
109.86,-73.977
110.11,-76.300
110.35,-73.668
110.60,-73.915
110.84,-73.697
111.08,-74.392
111.33,-73.314
111.57,-73.676
111.82,-71.640
112.06,-73.927
112.30,-73.022
112.55,-74.417
112.79,-73.716
113.04,-71.156
113.28,-72.433
113.53,-71.895
113.77,-71.339
114.01,-69.274
114.26,-72.722
114.50,-71.848
114.75,-72.292
114.99,-74.396
115.23,-74.786
115.48,-73.031
115.72,-73.736
115.97,-75.009
116.21,-73.270
116.46,-71.962
116.70,-73.168
116.94,-74.060
117.19,-71.349
117.43,-71.522
117.68,-70.683
117.92,-71.133
118.16,-69.069
118.41,-66.857
118.65,-66.201
118.90,-65.520
119.14,-65.324
119.38,-62.189
119.63,-57.880
119.87,-48.803
120.12,-47.753
120.36,-57.613
120.61,-61.850
120.85,-64.490
121.09,-66.971
121.34,-68.359
121.58,-68.676
121.83,-69.932
122.07,-71.138
122.31,-63.020
122.56,-73.173
122.80,-73.714
123.05,-73.831
123.29,-74.746
123.54,-75.219
123.78,-75.211
124.02,-74.655
124.27,-73.987
124.51,-74.769
124.76,-75.850
125.00,-75.914
125.24,-75.828
125.49,-76.382
125.73,-78.075
125.98,-75.990
126.22,-73.971
126.46,-73.330
126.71,-73.182
126.95,-73.669
127.20,-76.699
127.44,-75.561
127.69,-73.977
127.93,-74.588
128.17,-74.431
128.42,-73.140
128.66,-74.781
128.91,-76.151
129.15,-75.011
129.39,-73.854
129.64,-73.161
129.88,-73.152
130.13,-73.708
130.37,-72.992
130.62,-73.511
130.86,-73.263
131.10,-74.069
131.35,-71.473
131.59,-71.972
131.84,-70.918
132.08,-69.743
132.32,-68.789
132.57,-67.589
132.81,-62.032
133.06,-46.927
133.30,-58.380
133.54,-57.458
133.79,-66.395
134.03,-69.046
134.28,-71.668
134.52,-72.279
134.77,-73.772
135.01,-73.410
135.25,-75.035
135.50,-73.734
135.74,-72.925
135.99,-75.347
136.23,-74.766
136.47,-77.420
136.72,-77.251
136.96,-75.909
137.21,-76.398
137.45,-75.309
137.70,-75.491
137.94,-76.919
138.18,-76.725
138.43,-74.550
138.67,-74.617
138.92,-74.382
139.16,-72.198
139.40,-74.396
139.65,-75.578
139.89,-74.589
140.14,-72.335
140.38,-74.846
140.62,-73.154
140.87,-70.320
141.11,-72.438
141.36,-73.171
141.60,-73.289
141.85,-75.821
142.09,-76.461
142.33,-75.174
142.58,-76.164
142.82,-75.494
143.07,-73.079
143.31,-72.978
143.55,-74.767
143.80,-76.101
144.04,-74.904
144.29,-73.875
144.53,-72.364
144.78,-75.097
145.02,-73.676
145.26,-73.474
145.51,-74.512
145.75,-73.381
146.00,-73.655
146.24,-72.192
146.48,-72.171
146.73,-69.987
146.97,-71.968
147.22,-72.084
147.46,-71.637
147.71,-74.042
147.95,-71.385
148.19,-70.309
148.44,-62.318
148.68,-67.365
148.93,-72.540
149.17,-69.916
149.41,-71.916
149.66,-70.104
149.90,-70.608
